	astro|GSM1901309|8yo_ctx	astro|GSM1901310|13yo_ctx	astro|GSM1901314|35yo_ctx	astro|GSM1901317|53yo_ctx	myeloid|GSM1901339|45yo_ctx	myeloid|GSM1901340|51yo_ctx	myeloid|GSM1901341|63_yo_ctx	oligo|GSM1901334|22yo_ctx	oligo|GSM1901335|63yo_ctx_A	oligo|GSM1901337|47yo_ctx	dopamine|GSM2027430|VTA	dopamine|GSM2027431|VTA	dopamine|GSM2027423|SNc	motor|88_Control_GSM1977034	motor|GSM2027414|spinal	motor|Spinal_motor_neuron_control_rep5_GSM3615504
ENSG00000000003.14	10.75	16.67	32.58	25.65	1.5	0.17	2.61	3.69	1.65	26.08	12	20	31	44	0	0
ENSG00000000005.6	0	0	0.57	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000000419.12	6.94	13.11	8.77	12.21	22.74	13.63	13.27	5.79	12.17	7.5	42	116	92	293	26	10
ENSG00000000457.14	2.21	6.02	9.22	5.24	2.07	1.69	3.93	0.9	2.96	2.61	8	43	45.79	87.44	7	39
ENSG00000000460.17	6.89	4.17	6.36	8.62	19.23	19.53	22.73	6.42	8.72	7.34	1	9	2.21	16.56	0	0
ENSG00000000938.13	0	0	0	0.59	6.8	7.77	2.68	0.62	0.08	0.19	0	0	0	0	0	0
ENSG00000000971.15	0	0	0.23	0.07	0	0	0	0.45	0.15	0	0	0	2.56	53.07	0	0
ENSG00000001036.13	8.85	13.56	18.44	13.88	14.35	15.58	19.45	7.07	11.01	7.71	33	26	73	98	26	25
ENSG00000001084.13	50.05	64.07	74.61	50.12	36.82	26.7	20.56	37.76	46.22	28.37	30	27.87	58	153	21	6
ENSG00000001167.14	11.28	13.85	24.32	13.47	43.3	33.32	27.46	17.43	16.81	12.3	11	22	16	78	1	0
ENSG00000001460.18	1.3	3.9	1.42	9.84	4.91	4.59	2.62	11.2	10.87	1.49	24	29	41	48	11	26
ENSG00000001461.17	5.59	3.84	9.91	8.38	2.37	4.12	4.22	27.09	47.9	20.08	185	438	340	876	53	105
ENSG00000001497.16	12.28	14.33	17.5	9.25	11.71	4.71	10.83	15.93	25.46	18.04	29	105	106	391	4	9
ENSG00000001561.7	5.75	5.48	23.08	15.86	7.57	9.74	5.24	5.72	21.38	25.01	49	111	76	206	34	26
ENSG00000001617.12	0	0	0.38	0	0	0	0	0	0	0	4	15	21	0	4	0
ENSG00000001626.15	0	0.13	2.58	0	18.49	3.81	2.7	4.26	4.32	1.82	0	0	0	1	0.72	0
ENSG00000001629.10	20.33	32.94	54.97	42.18	37.26	12.15	15.93	51.01	82.46	44.71	113	183	292	371	16	19
ENSG00000001630.17	57.73	87.06	131.39	75	57.63	38.35	64.9	51.36	57.09	51.05	280.99	281	365.99	737.86	86	48
ENSG00000001631.15	24.77	23	17.2	16.53	26.21	24.64	16.91	16.47	27.03	17.75	46.79	27.66	47.36	130.02	6.8	25.97
ENSG00000002016.17	10.79	9.56	19.56	15.64	16.85	11.45	3.14	2.47	4.49	1.36	20	36	46	1	0	21
ENSG00000002079.14	0	0	0.2	0	0	0	0	0	0	0	0	0	0	7	0	0
ENSG00000002330.13	4.83	1.49	0.88	0	0	0	0.58	0	0	0	84	300	363	7	11	77
ENSG00000002549.12	27.94	34.87	76.27	47.13	56.2	40.74	43.63	23.36	32.97	26.54	15	19	53	74.95	51	8
ENSG00000002586.20	19.84	6.23	9.6	4.19	35.5	49.75	41.63	9.23	1.33	2.88	0.5	9.5	5	360.5	116.5	75.5
ENSG00000002586.20_PAR_Y	19.84	6.23	9.6	4.19	35.5	49.75	41.63	9.23	1.33	2.88	0.5	9.5	5	360.5	116.5	75.5
ENSG00000002587.10	0	0.07	0	0	7.1	1.73	3.29	0.41	0.09	1.4	0	0	0	52	22	3
ENSG00000002726.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745.13	0	0	0	0.09	0.32	0.12	0	0	0.15	0	0	0	0	0	0	0
ENSG00000002746.15	0.77	0.49	0.28	0.8	0	0.02	0.73	3.95	0.24	3.37	83	176	271	918.98	173	87
ENSG00000002822.15	0.92	0.21	0.88	0.64	0	1.42	1.15	0	0.38	0	27.59	36.87	47.57	1	7	40
ENSG00000002834.18	23.42	19.51	26.73	18.15	38.86	38.46	45.72	13.05	5.43	12.04	52.17	195.21	178.48	50.4	0	12.5
ENSG00000002919.14	4.29	3.45	2.15	1.52	10.41	8.04	7.7	2.3	3.25	1.22	20	106	159	54	26	33
ENSG00000002933.9	234.92	62.37	166.39	108.92	17.96	48.02	80.6	41.18	2.21	5.75	3	6	3	81	21	36
ENSG00000003056.8	25.02	27.71	50.21	35.1	86.53	98.13	119.13	23.78	18.38	21.5	39.81	168.5	214.67	191	47.76	35
ENSG00000003096.14	0.79	1.14	1.32	1.12	1.31	0	0.19	1.57	1.75	8.34	165	339	419	69	0	3
ENSG00000003137.8	0.2	2.19	0	0.9	0.24	0	0.11	1.09	1.27	0.79	1	2	3	6	4	2
ENSG00000003147.19	0.74	0	0.13	4.43	20.88	13.26	16.46	3.1	5.77	19.01	28	43	110	84	18	46
ENSG00000003249.13	3.23	1.23	0.45	0.86	0	0	0	0	0.08	0	71	172	387.33	44	5	9
ENSG00000003393.15	9.69	11.74	16.52	12.85	6.74	3.87	3	2.65	10.28	4.84	43	60	92	265	18	28
ENSG00000003400.14	0.05	1.12	2.74	3.9	43.85	39.52	25.8	4.88	1.03	1.74	0	0	0	0	0.74	0
ENSG00000003402.20	25.05	16.26	24.92	30.84	279.01	238.37	266.46	41.29	19.31	29.94	15.21	58.22	30.8	463.81	19	43
ENSG00000003436.16	0	0	0	0.57	3.36	2.7	0.45	0.16	0	0.29	0	0	2	10	2	2
ENSG00000003509.16	19.34	7.74	15.07	11.55	15.84	11.07	10.61	11.69	2.51	3.95	25.82	72.89	66.32	112.3	26	16
ENSG00000003756.16	98.66	146.48	183.49	145.63	137.9	100.36	110.51	72.02	68.03	78.99	127	264	278	150.05	24	15
ENSG00000003987.14	1.58	0.53	0.94	2.76	3.7	0.86	1.43	9.33	12.49	13.6	58.45	160.43	131.15	518.74	25.4	4.94
ENSG00000003989.17	30.74	25.22	42.59	31.38	0.13	0.18	0.08	1.46	0.81	3.81	0	0	0	11	0	0
ENSG00000004059.11	4.74	2.29	4.98	0	0	0.95	1.87	1.53	0.78	1.57	187	344.04	544.37	7.52	30.28	0
ENSG00000004139.14	3.65	4.57	5.07	2.93	0.61	1.93	0.46	3.03	0.49	1.15	11.55	51.43	49.94	109.57	20.14	20.82
ENSG00000004142.12	20.28	13.28	24.64	13.85	3.28	2.63	4.01	4.8	4.62	1.87	68.51	218.4	310.83	254.26	22.97	31
ENSG00000004399.12	13.28	5.18	22.95	9.48	7.53	7.67	10	0	1.35	1.39	0	7	0	1	18	29
ENSG00000004455.16	30.94	35.31	70.04	42.94	32.75	55.95	61.45	65.23	66.98	39.66	28	129	89	373.95	32	17
ENSG00000004468.13	26.04	22.3	29.32	22	0.17	0.12	0	0.1	0.11	1.73	0	24	1	22	0	0
ENSG00000004478.8	32.05	17.88	36.46	14.14	50.04	15.22	23.02	35.58	29.54	15.03	116.72	182.86	291.32	1811	19.23	81.43
ENSG00000004487.16	17.74	28.51	45.27	34.19	28.63	20.63	21.57	14.79	8.31	15.2	65	107	192	473	15	38
ENSG00000004534.15	49.67	124.43	90.38	104.44	53.87	40.85	63.88	18.8	30.52	32.33	63	192	212	336.95	42	15
ENSG00000004660.14	0.56	0.35	1.3	1	0.54	0.46	0.54	0.34	0.05	0.25	38	171.13	196	67	346	205
ENSG00000004700.16	5.33	3.83	9.54	10.32	18.08	9.29	11.72	2.27	2.89	2.65	6.82	51.61	0	121.8	0	0
ENSG00000004766.17	11.58	20.45	23.31	23.46	15.38	9.78	8.28	5.55	11.08	9.91	86	93	113	753	19	35
ENSG00000004776.13	1	0.78	0.35	0.86	0	0	0	0	0.12	0	2	8.86	0	1573.16	37.22	102.8
ENSG00000004777.18	0.61	0.31	16.12	1.32	0	0	0.07	0	0.32	0.44	9	52	54	2	0	0
ENSG00000004779.10	48.86	63.6	59.89	41.85	19.83	23.02	20.12	18.11	37.55	27.53	252	147	204	432	137	44
ENSG00000004799.8	50.55	158.71	186.32	114.25	1108.66	627.86	135.87	34.7	12.29	14.95	3	39	2	51	0	42
ENSG00000004809.14	0	0	10.8	0.15	0	1.07	0	0	0.09	1.57	0	0	0	0	0	0
ENSG00000004838.14	0	0.33	0	0	0	0	0.42	0	0.31	0	0	24	2.98	0	36	0
ENSG00000004846.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848.8	2.07	3.87	4.32	3.18	0	0	0	0.42	0.06	0.45	10	49	1	1	0	1
ENSG00000004864.13	4.88	6.04	13.31	7.65	15.27	7.65	7.87	4.42	19.63	8.15	26	91	87	92	4	3
ENSG00000004866.20	17.01	22.5	36.01	24.58	1.9	3.74	2.99	3.93	5.31	14.04	29	110	61	109	7	3
ENSG00000004897.12	54.69	66.78	67.19	67.92	62.41	54.8	50.97	29.61	45.69	49.38	211	281	330	994.85	117	59
ENSG00000004939.15	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	1	0
ENSG00000004948.15	0	0	0	0.24	11.53	1.8	2.41	0	0	0	0	0	0	0	0	0
ENSG00000004961.15	8.65	9.28	8.87	9.4	23.68	22.52	26.04	9.82	2.91	10.21	71	78	61	179	20	4
ENSG00000004975.12	10.72	4.25	8.73	4.3	0	1.51	0.86	1.42	3.51	2.68	7	21	16	0	6	18
ENSG00000005001.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007.12	5.9	3.3	4.46	1.87	0.65	1.16	2.77	0.11	0.77	0	31	127	125	12	8	56
ENSG00000005020.13	2.27	0.63	4.52	3.08	96.95	60.35	50.74	8.69	3.87	5.93	35	79	102	471	74	76
ENSG00000005022.6	238.49	244.91	347.18	207.53	67.37	155.63	146.03	66.19	75.65	56.19	235	244.98	247.97	540	49	11
ENSG00000005059.16	0.62	0.76	2.25	1.23	5.18	6.61	2.57	3.73	0.52	0.8	0	0	0	3	0	1
ENSG00000005073.5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ENSG00000005075.15	3.22	7.72	5.84	5.49	0	2.79	3.61	0	2.61	0.56	76.81	70.48	133.68	16.4	9.5	15.55
ENSG00000005100.13	8.7	5.43	6.78	4.2	1.75	1.29	1.51	0.85	1.84	1.98	23	103	62	44	0	30
ENSG00000005102.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108.16	4.09	7.68	9.9	7.42	0	0.05	0.14	1.96	0.55	4.6	40	125	110	399	19	61
ENSG00000005156.11	17.74	5.42	12.21	16.61	4.35	4.59	4.22	6.94	6.02	3.21	33.92	57.72	48.23	313.22	50.33	18.33
ENSG00000005175.10	11.76	10.76	16.15	35.34	26.09	11.38	12.17	1.5	9.46	11.33	73	179	132	801	60	53
ENSG00000005187.12	0	0.56	0.51	0	2.72	0	0.67	0	0.53	0	2.74	4.35	2.82	1	2	1
ENSG00000005189.19	4.83	2.98	2.33	4.7	0	0.88	1.5	1.52	1.98	5.67	1	0	2	8	0	0
ENSG00000005194.15	14.65	13.56	15.91	9.41	10.54	6.44	6.35	4.04	5.35	4.01	92	269	163	262	80	8
ENSG00000005206.17	3.92	1.15	3.39	0.62	0	0.08	0.13	0	0.13	0	9	112	87	6	18	31
ENSG00000005238.19	9.52	5.26	8.02	5.34	2.77	2.11	4.84	1.43	2.48	1.04	29	95	175	51	58	10
ENSG00000005243.10	9.78	14.73	9.1	8.36	0	1.79	1.89	2.69	2.37	8.49	0	0	5	6	0	0
ENSG00000005249.13	2.47	2.33	11.03	5.36	2.95	0.15	1.48	3.24	2.2	4.79	379	708	905	420	70	80
ENSG00000005302.18	6.73	7	8.7	12.45	47.4	25.96	23.88	8.7	4.18	7.99	32.87	95.08	87	89	22	14
ENSG00000005339.14	24.15	48.9	60.61	48.7	77.48	50.89	47.44	15.13	18	11.93	26	157	118	368	14	4
ENSG00000005379.17	14.2	14.34	12.85	8.02	2.09	2.67	3.69	6.25	1.56	3.63	48	251	325	22	4	4
ENSG00000005381.7	1.76	1.02	1.32	0.44	0	0.06	0	0.19	0	0.14	1	0	0	46	7	3
ENSG00000005421.8	5.34	15.35	6.68	12.15	0	0	0.08	0	0.54	3.29	0	0	0	4	0	0
ENSG00000005436.13	8.66	12.63	20.11	18	6.13	6.88	9.12	5.6	12.16	19.61	24	72	46	115.87	0	2
ENSG00000005448.16	1.19	2.67	1.34	0.66	0	0.39	3.27	4.26	6.48	3.1	18	49	45	131	7	34
ENSG00000005469.11	5.24	13.8	16.7	17.22	12	3.67	5.64	3.96	4.22	4.79	19	27	63	131	0	13
ENSG00000005471.17	0	0	0	1.61	33.87	9.78	8.09	0.62	0.28	0.12	0	0	0	9	0	0
ENSG00000005483.21	37.93	64.13	79.86	85.75	329.98	121.48	115.87	48.71	65.52	85.04	92	321	314.7	601.75	41	69
ENSG00000005486.17	46.89	18.72	39.1	20.17	0	3.2	4.48	2.62	5.94	2.72	629	2618	1959	84	275	479
ENSG00000005513.10	2.45	0.74	1.37	2.6	0.32	0.12	0.7	21.32	20.89	25.13	0	1	0	0	0	0
ENSG00000005700.15	9.29	10.52	25.5	35.31	51.46	20.05	17.02	11.25	20.56	20.52	43	84	116	365	28	70
ENSG00000005801.18	7.33	16.63	19.79	15.41	14.65	10.89	9.49	5.34	8.02	12.23	54	132.07	88	269	23	1
ENSG00000005810.18	33.65	46.06	61.07	56.7	157.92	82.32	51.07	21.34	21.6	32.55	286.91	808.89	636.45	9952.1	279.96	244.85
ENSG00000005812.11	17.97	20.81	32.38	30.52	44.26	16.5	19.21	10.59	27.71	21.99	56	147.15	126.98	271.67	17	16
ENSG00000005844.17	0.25	0	0	0.21	9.14	22.44	18.35	3.74	0.21	2.51	1	1.62	2	0	0	0
ENSG00000005882.11	109.81	64.58	61.34	41.22	0	3.36	1.9	1.5	4.09	0.55	50.03	321.35	188.01	40.46	31	11
ENSG00000005884.18	13.24	3.49	2.36	2.21	0	0	0	0	0	1.24	23	203	99	22	13	18
ENSG00000005889.15	9.74	37.2	37	35.54	52.39	24.52	22.6	11.44	28.71	12.4	26	96	87	150	19.53	14
ENSG00000005893.15	120.33	196.88	235.39	194.42	93.06	94.8	85.05	126.2	458.29	193.06	48	117	157	410	38	6
ENSG00000005961.18	0	0	0.96	0.09	0	0	0	0	0	0	5	0	4	1	0	10
ENSG00000005981.13	0.75	4.31	4.5	0.77	0	0	0.06	0.32	0.73	0.23	27	33	22	0	0	0
ENSG00000006007.12	18.51	38.35	49.21	32.4	25.68	37.95	20.6	33.19	61.66	48.38	157.61	311.96	538.79	444.6	52	117
ENSG00000006015.17	2.29	3.59	4.37	0.68	0	0.11	1.71	0.35	0.09	0.82	83	139	228	9	15	47
ENSG00000006016.11	9.41	6.7	0	0	0	1.25	1.5	0	1.62	0	3	0	0	10	4	0
ENSG00000006025.12	6.16	0.56	1.3	1.38	0	0.2	0.3	0.86	0.4	0.15	5	15	49	14	1	1
ENSG00000006042.12	9.39	8.4	11.29	5.27	0	0.23	1.49	11	53.03	17.36	0	38	0	19	3	17
